TIME,TARGET,PACKET,CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_MIRCOSECS,LONGITUDE,LATITUDE,ALTITUDE,DEV_LAT,DEV_LON,DEV_ALT,SOLN_AGE,SATS_TRACKED,SATS_SOLN,SOLUTION_INFO,DATUM,PACKET_TIMESECONDS,PACKET_TIMEFORMATTED,RECEIVED_TIMESECONDS,RECEIVED_TIMEFORMATTED,RECEIVED_COUNT,PACKET_TIME
2023-08-12T14:12:05.063Z,GPS,GEODETIC,3121,51286,83,1691849525,14.864141121506691,-168.6593780517578,-40.99405288696289,414.11993408203125,0.0024564999621361494,0.0020284000784158707,0.005048099905252457,0,9,9,16410;SOL_COMPUTED,WGS84,1691849525.063841,2023/08/12 14:12:05.063,1691894442.6183212,2023/08/13 02:40:42.618,4463,2023-08-12 14:12:05 +0000
2023-08-12T14:12:15.064Z,GPS,GEODETIC,3121,51287,83,1691849535,14.915596693754196,-168.00357055664062,-40.621280670166016,413.969482421875,0.0024572000838816166,0.001968200085684657,0.004946799948811531,0,9,9,16410;SOL_COMPUTED,WGS84,1691849535.0640619,2023/08/12 14:12:15.064,1691894442.6206126,2023/08/13 02:40:42.620,4464,2023-08-12 14:12:15 +0000
2023-08-12T14:12:25.064Z,GPS,GEODETIC,3121,51288,83,1691849545,14.97054472565651,-167.35548400878906,-40.24431228637695,413.816650390625,0.0024749001022428274,0.0019765000324696302,0.004918700084090233,0,9,9,16410;SOL_COMPUTED,WGS84,1691849545.064298,2023/08/12 14:12:25.064,1691894442.6223686,2023/08/13 02:40:42.622,4465,2023-08-12 14:12:25 +0000
2023-08-12T14:12:35.064Z,GPS,GEODETIC,3121,51289,83,1691849555,14.96030017733574,-166.71502685546875,-39.86325454711914,413.6606140136719,0.0024959000293165445,0.001999200088903308,0.004903700202703476,0,9,9,16410;SOL_COMPUTED,WGS84,1691849555.064254,2023/08/12 14:12:35.064,1691894442.6260056,2023/08/13 02:40:42.626,4466,2023-08-12 14:12:35 +0000
2023-08-12T14:12:55.064Z,GPS,GEODETIC,3121,51290,83,1691849575,15.01454971730709,-165.45655822753906,-39.08924102783203,413.3487548828125,0.0025446999352425337,0.002055400051176548,0.004885000176727772,0,9,9,16410;SOL_COMPUTED,WGS84,1691849575.064487,2023/08/12 14:12:55.064,1691894442.628535,2023/08/13 02:40:42.628,4467,2023-08-12 14:12:55 +0000
2023-08-12T14:13:05.064Z,GPS,GEODETIC,3121,51291,83,1691849585,15.039928257465363,-164.83831787109375,-38.696475982666016,413.1904602050781,0.002572000026702881,0.0020949000027030706,0.004881000146269798,0,9,9,16410;SOL_COMPUTED,WGS84,1691849585.064596,2023/08/12 14:13:05.064,1691894442.6309407,2023/08/13 02:40:42.630,4468,2023-08-12 14:13:05 +0000
2023-08-12T14:13:15.064Z,GPS,GEODETIC,3121,51292,83,1691849595,15.070894733071327,-164.22727966308594,-38.29999542236328,413.0311279296875,0.0025996000040322542,0.002136999974027276,0.0048778001219034195,0,10,9,16410;SOL_COMPUTED,WGS84,1691849595.064729,2023/08/12 14:13:15.064,1691894442.6329854,2023/08/13 02:40:42.632,4469,2023-08-12 14:13:15 +0000
2023-08-12T14:13:25.064Z,GPS,GEODETIC,3121,51293,83,1691849605,15.091616660356522,-163.623291015625,-37.8998908996582,412.8714294433594,0.0024945999030023813,0.0020930999889969826,0.004374399781227112,0,10,10,16410;SOL_COMPUTED,WGS84,1691849605.064818,2023/08/12 14:13:25.064,1691894442.635049,2023/08/13 02:40:42.635,4470,2023-08-12 14:13:25 +0000
2023-08-12T14:13:35.065Z,GPS,GEODETIC,3121,51294,83,1691849615,15.159137547016144,-163.02627563476562,-37.49625015258789,412.7117614746094,0.002529999939724803,0.0022279000841081142,0.004324300214648247,0,9,9,16410;SOL_COMPUTED,WGS84,1691849615.065108,2023/08/12 14:13:35.065,1691894442.6369228,2023/08/13 02:40:42.636,4471,2023-08-12 14:13:35 +0000
2023-08-12T14:13:45.064Z,GPS,GEODETIC,3121,51295,83,1691849625,15.129568055272102,-162.43609619140625,-37.08915710449219,412.54901123046875,0.002549899974837899,0.0022499999031424522,0.00430369982495904,0,9,9,16410;SOL_COMPUTED,WGS84,1691849625.064981,2023/08/12 14:13:45.064,1691894442.6389394,2023/08/13 02:40:42.638,4472,2023-08-12 14:13:45 +0000
