UTC Time,Q1,Q2,Q3,Q4
2023-08-10-10:15:22.5756,0.559397140057243,-0.724264039666163, 0.371322382340151, 0.156959003932437,
2023-08-10-10:15:23.5834,0.559183636889854,-0.724587837456540, 0.371324049067880, 0.156219642262187,
2023-08-10-10:15:24.5913,0.558969050536336,-0.724911982714936, 0.371324936563398, 0.155479932290300,
2023-08-10-10:15:25.5991,0.558753381308713,-0.725236473209483, 0.371325042554863, 0.154739877130556,
2023-08-10-10:15:26.6069,0.558536629539616,-0.725561306694498, 0.371324364776864, 0.153999479912623,
2023-08-10-10:15:27.6148,0.558318795590541,-0.725886480904238, 0.371322900972243, 0.153258743777790,
2023-08-10-10:15:28.6226,0.558099879846548,-0.726211993557083, 0.371320648891072, 0.152517671881749,
2023-08-10-10:15:29.6305,0.557879882707971,-0.726537842361975, 0.371317606289039, 0.151776267398844,
2023-08-10-10:15:30.6383,0.557658919155355,-0.726863793892875, 0.371314053369580, 0.151034528450914,
2023-08-10-10:15:31.6461,0.557436936526314,-0.727189950269193, 0.371309869046747, 0.150292445492558,
2023-08-10-10:15:32.6540,0.557213867825649,-0.727516444566120, 0.371304887549602, 0.149550021298660,
